Date,TeaPrice_USD_kg,Price_Change,anomaly_flag,anomaly_score,is_anomaly
1977-09-01,1.349386,-12.980060786902115,0,-0.5476951353685574,False
1977-10-01,1.358385,0.6668959067309022,0,-0.52975961292057,False
1977-11-01,0.9689543,-28.668654321123977,1,-0.6026311267281977,True
1977-12-01,0.7794351,-19.559147423155043,1,-0.610672446002132,True
1978-01-01,0.7810781,0.21079368891649963,1,-0.589183988339996,True
1978-02-01,0.9166232,17.3535911453669,1,-0.6126144179947332,True
1978-03-01,0.8489283,-7.385248376868492,1,-0.5717009068784449,True
1978-04-01,0.7104277,-16.31475826639305,0,-0.5444766768638285,False
1978-05-01,0.6708622,-5.569250748527965,0,-0.48938858740278074,False
1978-06-01,0.617284,-7.986468756176734,0,-0.4991903528981938,False
1978-07-01,0.6606127,7.0192488384601015,0,-0.4896878116809293,False
1978-08-01,0.734315,11.15665805395507,0,-0.4840341892350306,False
1978-09-01,0.7284557,-0.7979273200193426,0,-0.451046776789668,False
1978-10-01,0.8175819,12.234951281182905,0,-0.4678005651975485,False
1978-11-01,0.7581204,-7.272849362247369,0,-0.45098098746099274,False
1978-12-01,0.7035919,-7.192591044905261,0,-0.47545724677236806,False
1979-01-01,0.7077935,0.5971643505276125,0,-0.4551683821840608,False
1979-02-01,0.6953493,-1.7581681662801385,0,-0.43869348021349497,False
1979-03-01,0.6664514,-4.1558825183256705,0,-0.444672081494963,False
1979-04-01,0.6247182,-6.262002000445943,0,-0.452896548216067,False
1979-05-01,0.5221966,-16.410855326449592,0,-0.5396493691349986,False
1979-06-01,0.4341979,-16.851641699697005,0,-0.5532008528752068,False
1979-07-01,0.6540679,50.63819977019695,1,-0.5618967846095734,True
1979-08-01,0.9279077,41.867182291012895,1,-0.5742725445554182,True
1979-09-01,0.9617354,3.645588887774087,0,-0.4609067346632431,False
1979-10-01,0.9641627,0.2523875070003623,0,-0.46276372744059235,False
1979-11-01,0.9223581,-4.335844977201475,0,-0.47474022580754716,False
1979-12-01,1.313053,42.35826627423776,1,-0.615389056724412,True
1980-01-01,1.185947,-9.680188080755304,0,-0.5263858633059516,False
1980-02-01,1.174774,-0.94211630030685,0,-0.4841398076383297,False
1980-03-01,1.141416,-2.8395248788277594,0,-0.4712420348696396,False
1980-04-01,1.129668,-1.0292478815786765,0,-0.4609804190407049,False
1980-05-01,1.145053,1.3619045595697266,0,-0.4447753843089451,False
1980-06-01,1.142911,-0.18706557687723224,0,-0.4239212175855733,False
1980-07-01,1.139642,-0.2860240211180032,0,-0.41385217114238204,False
1980-08-01,1.108826,-2.704007047827295,0,-0.4159804674307099,False
1980-09-01,1.080715,-2.535203900341443,0,-0.41608700808748655,False
1980-10-01,1.052541,-2.606977787853426,0,-0.429050374950072,False
1980-11-01,1.020829,-3.0128992599813165,0,-0.45748274116832577,False
1980-12-01,1.014052,-0.663872205824878,0,-0.47766749303960204,False
1981-01-01,1.088045,7.296765846327413,0,-0.4748368182769434,False
1981-02-01,1.22602,12.681001245352919,0,-0.5019861012467525,False
1981-03-01,1.224591,-0.11655601050555298,0,-0.44225302052803733,False
1981-04-01,1.085859,-11.328843671070587,0,-0.4539301782300145,False
1981-05-01,0.9864128,-9.158297716370168,0,-0.4476065162806885,False
1981-06-01,0.8991826,-8.843173973411533,0,-0.4428252204544041,False
1981-07-01,0.845695,-5.94846919858103,0,-0.436956061023035,False
1981-08-01,0.8233915,-2.6372983167690434,0,-0.4357674249742486,False
1981-09-01,1.031127,25.22924999833005,0,-0.49893687888401855,False
1981-10-01,0.737933,-28.434324772797137,0,-0.5411773346937413,False
1981-11-01,0.8342879,13.057404940556939,0,-0.4852424149073977,False
1981-12-01,0.8967299,7.484466693092395,0,-0.4730838458327873,False
1982-01-01,0.9501384,5.955918275949101,0,-0.4775580023704133,False
1982-02-01,0.9857177,3.7446439381883634,0,-0.43938741037831686,False
1982-03-01,1.02176,3.6564525522875257,0,-0.4345246089360005,False
1982-04-01,1.054616,3.2156279361102325,0,-0.43384275406041356,False
1982-05-01,1.06383,0.8736829329348383,0,-0.42602121749321586,False
1982-06-01,0.9898171,-6.9572112085577675,0,-0.4251480416402348,False
1982-07-01,1.092933,10.417672113363153,0,-0.4540293376353342,False
1982-08-01,1.272562,16.43549970583742,0,-0.498259541843823,False
1982-09-01,1.468605,15.405379069939219,0,-0.5126305055333342,False
1982-10-01,1.300871,-11.421314785119197,0,-0.47848678703947045,False
1982-11-01,1.30137,0.038358914911618136,0,-0.43753808502577174,False
1982-12-01,1.237425,-4.913667903824425,0,-0.46082539489407626,False
1983-01-01,1.3767,11.255227589550888,0,-0.47875456404751926,False
1983-02-01,1.500712,9.007917483838156,0,-0.45783020175656913,False
1983-03-01,1.703072,13.484266135007905,0,-0.4968555542605602,False
1983-04-01,1.783179,4.703676650194488,0,-0.46838547525635615,False
1983-05-01,1.954458,9.60526116559246,0,-0.49213957260047236,False
1983-06-01,2.014835,3.089194037426246,0,-0.4713353845998509,False
1983-07-01,1.654375,-17.890298709323606,0,-0.48427085649894236,False
1983-08-01,1.844296,11.479924442765398,0,-0.4608938021524855,False
1983-09-01,1.908979,3.507191904119522,0,-0.43992484669327436,False
1983-10-01,1.926339,0.9093866407121398,0,-0.44115484899049817,False
1983-11-01,2.22665,15.58972745710905,0,-0.5211568442643012,False
1983-12-01,2.392263,7.437765252733919,0,-0.5155491523637745,False
1984-01-01,2.841424,18.775569408547476,1,-0.5934656725376346,True
1984-02-01,2.645103,-6.9092469128155365,0,-0.5245492984076451,False
1984-03-01,2.665368,0.7661327366079718,0,-0.4939695666987514,False
1984-04-01,2.726983,2.3116882921982995,0,-0.49282072567550284,False
1984-05-01,2.527433,-7.317610707510836,0,-0.49791454567613436,False
1984-06-01,2.196615,-13.089090788954639,0,-0.5104151908895677,False
1984-07-01,2.136993,-2.714267179273566,0,-0.4689794605318387,False
1984-08-01,2.26003,5.757482593532126,0,-0.474495303368233,False
1984-09-01,2.534094,12.126564691619146,0,-0.49235347327902956,False
1984-10-01,2.508304,-1.017720731748717,0,-0.46247354403331553,False
1984-11-01,2.511128,0.11258603422870106,0,-0.4705804230801765,False
1984-12-01,2.45067,-2.4076032762965327,0,-0.4907461427462582,False
1985-01-01,2.313555,-5.595000550869766,0,-0.49932178652145476,False
1985-02-01,2.125491,-8.12878881202307,0,-0.49685444247507404,False
1985-03-01,1.728791,-18.66392283006608,0,-0.5512522024034875,False
1985-04-01,1.606155,-7.093743546790787,0,-0.5060110275371096,False
1985-05-01,1.398642,-12.91986140814554,0,-0.530001848351931,False
1985-06-01,1.15609,-17.34196456276873,0,-0.556246506899416,False
1985-07-01,1.247392,7.897482029945757,0,-0.5302496234895866,False
1985-08-01,1.270601,1.860601959929209,0,-0.5119672897003639,False
1985-09-01,1.243525,-2.1309600732251965,0,-0.5057834093746462,False
1985-10-01,1.152513,-7.3188717556945,0,-0.5116488079634399,False
1985-11-01,1.09977,-4.576347511915269,0,-0.5115185117533735,False
1985-12-01,1.137707,3.449539449157557,0,-0.5016065984160152,False
1986-01-01,1.096164,-3.6514673813205056,0,-0.49034295149363183,False
1986-02-01,1.136248,3.656752091840265,0,-0.45047845388622376,False
1986-03-01,1.141295,0.44418119987890137,0,-0.4300958767429142,False
1986-04-01,1.050301,-7.972872920673446,0,-0.43855231171573167,False
1986-05-01,0.9781168,-6.872715535832096,0,-0.443617477830204,False
1986-06-01,0.8951004,-8.487370833421936,0,-0.44893147410610823,False
1986-07-01,0.914082,2.120611274444739,0,-0.4298851110837014,False
1986-08-01,1.055938,15.518957817788781,0,-0.4615316330011958,False
1986-09-01,1.028959,-2.554979553723802,0,-0.412963402954489,False
1986-10-01,1.091428,6.071087380546758,0,-0.4425318442227316,False
1986-11-01,1.405932,28.815826605144814,1,-0.5611354384696826,True
1986-12-01,1.508766,7.314294005684485,0,-0.4942308512584147,False
1987-01-01,1.50154,-0.4789344404632634,0,-0.4845918338890222,False
1987-02-01,1.348832,-10.170092038840128,0,-0.4801340070669412,False
1987-03-01,1.425492,5.683435742924248,0,-0.46029380379707485,False
1987-04-01,1.373472,-3.6492663585625196,0,-0.44489835856525217,False
1987-05-01,1.145697,-16.58388376319284,0,-0.47604150532387157,False
1987-06-01,1.192028,4.043913879498695,0,-0.43222115610889106,False
1987-07-01,1.317017,10.48540806088447,0,-0.43427838198591723,False
1987-08-01,1.444868,9.707619567553039,0,-0.42838595549871905,False
1987-09-01,1.358648,-5.967327119155518,0,-0.4170769641496495,False
1987-10-01,1.386792,2.0714710506326783,0,-0.41007371411339477,False
1987-11-01,1.34024,-3.3568119804556096,0,-0.4215065173043401,False
1987-12-01,1.352861,0.9416970094908272,0,-0.43238733875984897,False
1988-01-01,1.487373,9.94278052216746,0,-0.47318333553028913,False
1988-02-01,1.574425,5.852734989810893,0,-0.4479401999950686,False
1988-03-01,1.504356,-4.4504501643457095,0,-0.42598321695897,False
1988-04-01,1.479805,-1.631994022691441,0,-0.4121163781821085,False
1988-05-01,1.343664,-9.199928368940501,0,-0.422512961530047,False
1988-06-01,1.335542,-0.6044665928386816,0,-0.4093503827113901,False
1988-07-01,1.235329,-7.503545377082865,0,-0.4346647456248786,False
1988-08-01,1.229864,-0.4423922695897087,0,-0.4231620976648978,False
1988-09-01,1.206661,-1.8866313673707058,0,-0.42927702976711885,False
1988-10-01,1.290978,6.987629499917536,0,-0.43412945681537957,False
1988-11-01,1.338671,3.694330964586534,0,-0.42588892786684246,False
1988-12-01,1.315231,-1.7509903478898026,0,-0.43533417010799164,False
1989-01-01,1.264194,-3.880459022027305,0,-0.4525440487285297,False
1989-02-01,1.345096,6.399492482957525,0,-0.42742369111817013,False
1989-03-01,1.445718,7.480655655804491,0,-0.4446201212561504,False
1989-04-01,1.474706,2.005093662802837,0,-0.442566080902756,False
1989-05-01,1.529357,3.705891208145884,0,-0.4460134775723322,False
1989-06-01,1.408907,-7.875858939410496,0,-0.41929609415346336,False
1989-07-01,1.343868,-4.616273465885246,0,-0.4071582365706641,False
1989-08-01,1.400408,4.207258450978824,0,-0.41007701353351095,False
1989-09-01,1.792773,28.01790621019016,1,-0.5717042118997715,True
1989-10-01,1.8325,2.215952605265703,0,-0.4551903906167938,False
1989-11-01,1.73075,-5.5525238744884025,0,-0.44530973018086495,False
1989-12-01,1.78325,3.0333670374115274,0,-0.45239322464495707,False
1990-01-01,1.891,6.0423384270293035,0,-0.4726691369608902,False
1990-02-01,2.013,6.451612903225801,0,-0.47211967074231037,False
1990-03-01,3.01675,49.86338797814209,1,-0.6666549506786246,True
1990-04-01,1.889,-37.38294522250767,0,-0.5546118480599689,False
1990-05-01,1.79,-5.240868184224457,0,-0.46813459899944343,False
1990-06-01,1.6005,-10.586592178770948,0,-0.4731781738803326,False
1990-07-01,1.5945,-0.37488284910965897,0,-0.4490784429802446,False
1990-08-01,1.738076,9.004452806522423,0,-0.4623031060527717,False
1990-09-01,1.79421,3.2296631447646718,0,-0.45287002440235463,False
1990-10-01,1.821184,1.503391464767212,0,-0.4543055723293785,False
1990-11-01,1.69526,-6.91440293786899,0,-0.47455688648311284,False
1990-12-01,1.683902,-0.6699857249035546,0,-0.48506608706971177,False
1991-01-01,1.678834,-0.3009676335083644,0,-0.4993230859766944,False
1991-02-01,1.642343,-2.173591909622974,0,-0.48208253430850867,False
1991-03-01,1.740283,5.963431512174977,0,-0.43455892743911345,False
1991-04-01,1.634483,-6.0794709825930715,0,-0.4374305358047165,False
1991-05-01,1.586256,-2.9505966106713744,0,-0.42879349260599675,False
1991-06-01,1.515269,-4.475128856880617,0,-0.43632443434050117,False
1991-07-01,1.230142,-18.816922935795553,0,-0.5346285674274049,False
1991-08-01,1.232421,0.18526316474032356,0,-0.44552641740243815,False
1991-09-01,1.236162,0.3035488684467458,0,-0.44938147106571946,False
1991-10-01,1.249466,1.0762343446894418,0,-0.4438587019785854,False
1991-11-01,1.209253,-3.2184149068482104,0,-0.45663428173995474,False
1991-12-01,1.202926,-0.52321557192746,0,-0.4702236116183793,False
1992-01-01,1.267087,5.333744552865283,0,-0.4714518636408118,False
1992-02-01,1.229947,-2.9311325899484597,0,-0.4413636936468035,False
1992-03-01,1.341158,9.04193432725151,0,-0.43998560710443896,False
1992-04-01,1.54378,15.107988767915481,0,-0.46715696273616797,False
1992-05-01,1.572503,1.860563033592877,0,-0.43488011099878965,False
1992-06-01,1.402295,-10.824017505848948,0,-0.4307278957721364,False
1992-07-01,1.307172,-6.783380101904379,0,-0.41020003860258797,False
1992-08-01,1.58783,21.470625135789323,0,-0.4844018095354665,False
1992-09-01,1.541156,-2.9394834459608443,0,-0.42571916177826696,False
1992-10-01,1.600387,3.8432838726254914,0,-0.4259064498634743,False
1992-11-01,1.536286,-4.005343707490749,0,-0.4301686790166203,False
1992-12-01,1.402072,-8.736263950852907,0,-0.4506264790701405,False
1993-01-01,1.503645,7.244492436907657,0,-0.44917300202710847,False
1993-02-01,1.590484,5.77523285083914,0,-0.42920143726586163,False
1993-03-01,1.545754,-2.812351460310192,0,-0.41415668543153084,False
1993-04-01,1.491452,-3.512978132354827,0,-0.412160240255221,False
1993-05-01,1.320317,-11.474388716499096,0,-0.4467570108254759,False
1993-06-01,1.348695,2.1493323194354153,0,-0.41448060557176347,False
1993-07-01,1.327859,-1.5449008115252183,0,-0.4162060057625039,False
1993-08-01,1.386884,4.4451255743267915,0,-0.41418819644103655,False
1993-09-01,1.524164,9.898448608535393,0,-0.4333671447871762,False
1993-10-01,1.486562,-2.4670573507837856,0,-0.41870781910114757,False
1993-11-01,1.40598,-5.420695537757592,0,-0.43085890819952183,False
1993-12-01,1.376271,-2.113045704775318,0,-0.4458846856327951,False
1994-01-01,1.383476,0.5235160807718797,0,-0.44635773871886625,False
1994-02-01,1.4139,2.1990985026122623,0,-0.42680506679028496,False
1994-03-01,1.399083,-1.0479524718862598,0,-0.4210010482266056,False
1994-04-01,1.27765,-8.67947076763853,0,-0.4447340191583377,False
1994-05-01,1.178077,-7.793448910108392,0,-0.4526912087998841,False
1994-06-01,1.224481,3.9389615449584303,0,-0.42897427448028635,False
1994-07-01,1.216221,-0.6745715123386953,0,-0.4111489561747024,False
1994-08-01,1.349189,10.932881441777443,0,-0.4199779202100918,False
1994-09-01,1.421099,5.329868535838922,0,-0.41909599337139775,False
1994-10-01,1.430328,0.6494269575870515,0,-0.41607743119880236,False
1994-11-01,1.349938,-5.620389169477214,0,-0.42495806791354596,False
1994-12-01,1.327972,-1.627185841127532,0,-0.4323578599894305,False
1995-01-01,1.364262,2.7327383408686456,0,-0.43886382672682483,False
1995-02-01,1.377246,0.9517233493273158,0,-0.41846794873909915,False
1995-03-01,1.363096,-1.0274126771832925,0,-0.4165077640826331,False
1995-04-01,1.361928,-0.08568728834946748,0,-0.409310704712086,False
1995-05-01,1.308731,-3.9060067786255925,0,-0.41881327533307083,False
1995-06-01,1.204146,-7.991329004967418,0,-0.4412513658151258,False
