Date,TeaPrice_USD_kg
2005-10-01,1.96175377912
2005-11-01,1.87771255653
2005-12-01,1.89113930006
2006-01-01,1.89495973453
2006-02-01,1.94633285956
2006-03-01,1.9403188578
2006-04-01,1.88808507309
2006-05-01,1.7460009102
2006-06-01,1.74106319921
2006-07-01,1.83263203015
2006-08-01,1.89781232897
2006-09-01,1.99604264885
2006-10-01,1.98287255601
2006-11-01,1.92753785838
2006-12-01,2.12296761576
2007-01-01,2.09345272302
2007-02-01,2.27756880734
2007-03-01,2.42113553127
2007-04-01,2.34303556928
2007-05-01,2.27678142123
2007-06-01,2.31339900297
2007-07-01,2.4856505459
2007-08-01,2.54607041236
2007-09-01,2.60806537567
2007-10-01,2.90050722694
2007-11-01,2.91316303297
2007-12-01,3.08663577527
2008-01-01,3.05267028729
2008-02-01,3.04256443001
2008-03-01,3.06109700108
2008-04-01,2.91624925794
2008-05-01,2.93651906909
2008-06-01,3.10126106773
2008-07-01,3.12036180262
2008-08-01,2.99641936841
2008-09-01,2.98045665267
2008-10-01,2.36712246885
2008-11-01,1.97986455161
2008-12-01,1.9164806479
2009-01-01,2.45943677322
2009-02-01,2.54270987133
2009-03-01,2.8473854739
2009-04-01,2.87293988209
2009-05-01,2.96466765651
2009-06-01,3.13644330803
2009-07-01,3.46032776556
2009-08-01,3.45763709385
2009-09-01,3.76446018223
2009-10-01,3.52390338996
2009-11-01,3.34950667805
2009-12-01,3.26709531022
2010-01-01,3.41052368679
2010-02-01,3.32142005883
2010-03-01,3.32195930053
2010-04-01,3.26639387447
2010-05-01,3.21856280846
2010-06-01,3.00076145372
2010-07-01,3.04464464252
2010-08-01,3.26955247269
2010-09-01,3.34880855073
2010-10-01,3.37241399687
2010-11-01,3.39794202704
2010-12-01,3.50276276276
2011-01-01,3.55880235112
2011-02-01,3.55939696316
2011-03-01,3.57092333587
2011-04-01,3.37234500539
2011-05-01,3.10029597924
2011-06-01,3.11777169792
2011-07-01,3.09573985429
2011-08-01,3.15671145664
2011-09-01,3.13785456326
2011-10-01,3.23417891394
2011-11-01,3.15501105003
2011-12-01,3.11060536733
2012-01-01,3.05757403868
2012-02-01,2.96994962524
2012-03-01,2.75423358245
2012-04-01,3.20417831324
2012-05-01,3.02418604651
2012-06-01,2.91231787357
2012-07-01,2.98983723063
2012-08-01,3.06582246362
2012-09-01,3.18797649226
2012-10-01,3.15898193463
2012-11-01,3.11612345158
2012-12-01,3.31013641601
2013-01-01,3.33770742452
2013-02-01,3.33160514514
2013-03-01,3.48250233346
2013-04-01,3.39119915918
2013-05-01,3.29168896974
2013-06-01,3.17273419352
2013-07-01,3.17334128424
2013-08-01,3.36037372753
2013-09-01,3.59112423802
2013-10-01,3.7745898512
2013-11-01,3.72303055611
2013-12-01,3.80675806449
2014-01-01,3.89903534357
2014-02-01,3.6535768878
2014-03-01,3.59373803874
2014-04-01,3.54786053276
2014-05-01,3.66513990034
2014-06-01,3.57636224098
2014-07-01,3.50965067179
2014-08-01,3.48655913978
2014-09-01,3.36786920479
2014-10-01,3.42273249139
2014-11-01,3.332729146
2014-12-01,3.36962734339
2015-01-01,3.24
2015-02-01,3.11
2015-03-01,3.08
2015-04-01,3.01
2015-05-01,2.97
2015-06-01,3.01
2015-07-01,3.04
2015-08-01,2.91
2015-09-01,2.65
2015-10-01,2.81
2015-11-01,2.92
2015-12-01,2.95
2016-01-01,2.85
2016-02-01,2.83
2016-03-01,2.87
2016-04-01,2.99
2016-05-01,3.08
2016-06-01,2.96
2016-07-01,3.18
2016-08-01,3.46
2016-09-01,3.6
2016-10-01,3.88
2016-11-01,4.01
2016-12-01,3.91
2017-01-01,3.95
2017-02-01,3.97
2017-03-01,4.01
2017-04-01,4.05
2017-05-01,4.02
2017-06-01,3.95
2017-07-01,3.86
2017-08-01,4.13
2017-09-01,4.27
2017-10-01,4.19
2017-11-01,4.11
2017-12-01,4.11
2018-01-01,4.16
2018-02-01,4.1
2018-03-01,3.95
2018-04-01,3.88
2018-05-01,3.76
2018-06-01,3.39
2018-07-01,3.41
2018-08-01,3.34
2018-09-01,3.25
2018-10-01,3.48
2018-11-01,3.36
2018-12-01,3.18
2019-01-01,3.23
2019-02-01,3.27
2019-03-01,3.38
2019-04-01,3.34
2019-05-01,3.09
2019-06-01,2.78
2019-07-01,2.84
2019-08-01,3.06
2019-09-01,2.88
2019-10-01,2.94
2019-11-01,3.19
2019-12-01,3.21
2020-01-01,3.27
2020-02-01,3.35
2020-03-01,3.08
2020-04-01,3.66
2020-05-01,3.76
2020-06-01,3.3
2020-07-01,3.32
2020-08-01,3.37
2020-09-01,3.35
2020-10-01,3.51
2020-11-01,3.47
2020-12-01,3.41
2021-01-01,3.39
2021-02-01,3.32
2021-03-01,3.27
2021-04-01,3.21
2021-05-01,3.08
2021-06-01,2.93
2021-07-01,2.99
2021-08-01,2.99
2021-09-01,2.98
2021-10-01,3.05
2021-11-01,3.11
2021-12-01,3.19
2022-01-01,3.51
2022-02-01,3.61
2022-03-01,3.35
2022-04-01,4.09
2022-05-01,3.71
2022-06-01,3.51
2022-07-01,4.01
2022-08-01,4.21
2022-09-01,4.49
2022-10-01,4.15
2022-11-01,3.8
2022-12-01,4.04
2023-01-01,4.04
2023-02-01,3.96
2023-03-01,3.82
2023-04-01,3.9
2023-05-01,3.43
2023-06-01,3.2340862423
2023-07-01,2.47523418653
2023-08-01,3.57854468882
2023-09-01,3.63546132339
2023-10-01,3.49014314802
2023-11-01,3.42768241654
2023-12-01,3.6698974532
2024-01-01,4.00845378204
2024-02-01,4.27276008084
2024-03-01,4.33353850699
2024-04-01,4.11638954869
2024-05-01,4.28304847109
2024-06-01,4.15887542797
2024-07-01,4.09737163209
2024-08-01,4.02134126033
2024-09-01,4.09472354291
2024-10-01,4.05631948707
2024-11-01,3.95781191072
2024-12-01,4.11223125193
2025-01-01,4.08026995979
2025-02-01,4.00383668376
2025-03-01,4.07260218398
2025-04-01,3.96196944826
2025-05-01,3.89069340017
2025-06-01,3.74183540715
2025-07-01,3.79900352089
2025-08-01,3.97763336985
2025-09-01,4.00848316281
2025-10-01,3.93558530305
2025-11-01,3.96468137255
2025-12-01,3.95011011076
